iter	Passed	Remaining
0	124	12371
1	126	6199
2	127	4129
3	129	3096
4	130	2478
5	131	2061
6	132	1763
7	133	1539
8	134	1364
9	138	1244
10	139	1131
11	141	1036
12	143	958
13	144	889
14	146	827
15	147	772
16	148	723
17	149	681
18	150	643
19	152	610
20	154	580
21	155	551
22	157	525
23	158	502
24	159	479
25	160	458
26	162	438
27	163	420
28	164	403
29	166	387
30	167	373
31	168	359
32	170	346
33	172	334
34	173	322
35	174	310
36	176	299
37	177	289
38	178	279
39	179	269
40	181	261
41	182	251
42	183	243
43	184	234
44	185	226
45	186	219
46	187	211
47	189	204
48	190	197
49	191	191
50	192	184
51	193	178
52	195	173
53	196	167
54	197	161
55	199	156
56	200	150
57	201	145
58	202	140
59	203	135
60	204	131
61	206	126
62	207	121
63	208	117
64	210	113
65	211	109
66	212	104
67	213	100
68	215	96
69	216	92
70	217	88
71	218	84
72	219	81
73	220	77
74	221	73
75	222	70
76	223	66
77	225	63
78	226	60
79	227	56
80	228	53
81	229	50
82	230	47
83	231	44
84	233	41
85	234	38
86	235	35
87	236	32
88	237	29
89	238	26
90	239	23
91	240	20
92	241	18
93	242	15
94	243	12
95	244	10
96	245	7
97	246	5
98	247	2
99	248	0
